phiSector,level,name,serialNumber
1,Top,01T,216506
2,Top,02T,208552
3,Top,03T,216503
4,Top,04T,216502
5,Top,05T,216505
6,Top,06T,205789
7,Top,07T,216507
8,Top,08T,208735
9,Top,09T,216512
10,Top,10T,205790
11,Top,11T,216510
12,Top,12T,208724
13,Top,13T,216498
14,Top,14T,205946
15,Top,15T,216509
16,Top,16T,208546
1,Middle,01M,216521
2,Middle,02M,216499
3,Middle,03M,216508
4,Middle,04M,216517
5,Middle,05M,216525
6,Middle,06M,216497
7,Middle,07M,216516
8,Middle,08M,216515
9,Middle,09M,216518
10,Middle,10M,216520
11,Middle,11M,216522
12,Middle,12M,216513
13,Middle,13M,216501
14,Middle,14M,216526
15,Middle,15M,216500
16,Middle,16M,216519
1,Bottom,01B,216529
2,Bottom,02B,216489
3,Bottom,03B,216495
4,Bottom,04B,216496
5,Bottom,05B,216493
6,Bottom,06B,216491
7,Bottom,07B,216492
8,Bottom,08B,216494
9,Bottom,09B,216514
10,Bottom,10B,216530
11,Bottom,11B,216524
12,Bottom,12B,216523
13,Bottom,13B,216490
14,Bottom,14B,216527
15,Bottom,15B,216528
16,Bottom,16B,216511